vit = 9600baud
delay 2ms

sensor = 495
sensor = 495
sensor = 493
sensor = 495
sensor = 494
sensor = 494
sensor = 496
sensor = 495
sensor = 494
sensor = 495
sensor = 497
sensor = 500
sensor = 494
sensor = 496
sensor = 494
sensor = 496
sensor = 500
sensor = 494
sensor = 492
sensor = 494
sensor = 502
sensor = 499
sensor = 492
sensor = 491
sensor = 493
sensor = 496
sensor = 493
sensor = 495
sensor = 496
sensor = 493
sensor = 496
sensor = 493
sensor = 492
sensor = 493
sensor = 493
sensor = 494
sensor = 493
sensor = 493
sensor = 494
sensor = 492
sensor = 492
sensor = 496
sensor = 494
sensor = 494
sensor = 494
sensor = 498
sensor = 492
sensor = 494
sensor = 495
sensor = 499
sensor = 494
sensor = 496
sensor = 494
sensor = 493
sensor = 496
sensor = 493
sensor = 495
sensor = 493
sensor = 493
sensor = 495
sensor = 492
sensor = 495
sensor = 492
sensor = 495
sensor = 493
sensor = 495
sensor = 494
sensor = 491
sensor = 495
sensor = 501
sensor = 496
sensor = 493
sensor = 495
sensor = 496
sensor = 496
sensor = 494
sensor = 494
sensor = 495
sensor = 492
sensor = 495
sensor = 494
sensor = 496
sensor = 493
sensor = 493
sensor = 498
sensor = 495
sensor = 494
sensor = 493
sensor = 494
sensor = 498
sensor = 494
sensor = 491
sensor = 493
sensor = 494
sensor = 492
sensor = 499
sensor = 492
sensor = 490
sensor = 494
sensor = 494
sensor = 494
sensor = 491
sensor = 496
sensor = 492
sensor = 492
sensor = 496
sensor = 495
sensor = 505
sensor = 490
sensor = 491
sensor = 493
sensor = 492
sensor = 491
sensor = 493
sensor = 493
sensor = 496
sensor = 490
sensor = 491
sensor = 494
sensor = 491
sensor = 499
sensor = 490
sensor = 496
sensor = 493
sensor = 491
sensor = 494
sensor = 494
sensor = 497
sensor = 488
sensor = 491
sensor = 495
sensor = 493
sensor = 488
sensor = 493
sensor = 496
sensor = 491
sensor = 491
sensor = 496
sensor = 492
sensor = 492
sensor = 496
sensor = 485
sensor = 499
sensor = 487
sensor = 500
sensor = 487
sensor = 494
sensor = 493
sensor = 488
sensor = 495
sensor = 485
sensor = 504
sensor = 485
sensor = 498
sensor = 500
sensor = 485
sensor = 488
sensor = 496
sensor = 502
sensor = 485
sensor = 487
sensor = 490
sensor = 484
sensor = 489
sensor = 488
sensor = 492
sensor = 493
sensor = 495
sensor = 501
sensor = 481
sensor = 499
sensor = 499
sensor = 489
sensor = 500
sensor = 491
sensor = 486
sensor = 489
sensor = 496
sensor = 486
sensor = 505
sensor = 492
sensor = 497
sensor = 524
sensor = 463
sensor = 486
sensor = 491
sensor = 487
sensor = 465
sensor = 486
sensor = 483
sensor = 472
sensor = 498
sensor = 512
sensor = 497
sensor = 506
sensor = 544
sensor = 489
sensor = 497
sensor = 495
sensor = 542
sensor = 466
sensor = 498
sensor = 527
sensor = 496
sensor = 487
sensor = 510
sensor = 470
sensor = 462
sensor = 522
sensor = 508
sensor = 486
sensor = 459
sensor = 488
sensor = 557
sensor = 475
sensor = 530
sensor = 469
sensor = 494
sensor = 515
sensor = 479
sensor = 548
sensor = 489
sensor = 558
sensor = 440
sensor = 506
sensor = 488
sensor = 520
sensor = 469
sensor = 430
sensor = 527
sensor = 471
sensor = 542
sensor = 480
sensor = 487
sensor = 501
sensor = 485
sensor = 445
sensor = 504
sensor = 510
sensor = 495
sensor = 481
sensor = 487
sensor = 482
sensor = 507
sensor = 463
sensor = 540
sensor = 521
sensor = 497
sensor = 509
sensor = 486
sensor = 505
sensor = 481
sensor = 503
sensor = 512
sensor = 489
sensor = 480
sensor = 480
sensor = 535
sensor = 493
sensor = 542
sensor = 497
sensor = 479
